WOJ,WOJEWÓDZTWO,imie,PŁEĆ,LICZBA_WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,445
2,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,359
2,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,330
2,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,327
2,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,320
2,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,315
2,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,286
2,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,277
2,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,260
2,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,247
2,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,238
2,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,181
2,DOLNOŚLĄSKIE,OLIWIER,MĘŻCZYZNA,174
2,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,167
2,DOLNOŚLĄSKIE,TYMON,MĘŻCZYZNA,166
2,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,155
2,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,150
2,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,149
2,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,149
2,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,141
2,DOLNOŚLĄSKIE,MARCEL,MĘŻCZYZNA,133
2,DOLNOŚLĄSKIE,TYMOTEUSZ,MĘŻCZYZNA,128
2,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,120
2,DOLNOŚLĄSKIE,OSKAR,MĘŻCZYZNA,113
2,DOLNOŚLĄSKIE,MIŁOSZ,MĘŻCZYZNA,112
2,DOLNOŚLĄSKIE,IGOR,MĘŻCZYZNA,109
2,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,104
2,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,102
2,DOLNOŚLĄSKIE,BRUNO,MĘŻCZYZNA,90
2,DOLNOŚLĄSKIE,MILAN,MĘŻCZYZNA,88
2,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,86
2,DOLNOŚLĄSKIE,TEODOR,MĘŻCZYZNA,85
2,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,83
2,DOLNOŚLĄSKIE,TADEUSZ,MĘŻCZYZNA,81
2,DOLNOŚLĄSKIE,CEZARY,MĘŻCZYZNA,74
2,DOLNOŚLĄSKIE,HUBERT,MĘŻCZYZNA,74
2,DOLNOŚLĄSKIE,HENRYK,MĘŻCZYZNA,71
2,DOLNOŚLĄSKIE,NATAN,MĘŻCZYZNA,70
2,DOLNOŚLĄSKIE,MARK,MĘŻCZYZNA,70
2,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,63
2,DOLNOŚLĄSKIE,ALAN,MĘŻCZYZNA,61
2,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,59
2,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,57
2,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,54
2,DOLNOŚLĄSKIE,DANIEL,MĘŻCZYZNA,54
2,DOLNOŚLĄSKIE,FABIAN,MĘŻCZYZNA,53
2,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,51
2,DOLNOŚLĄSKIE,LEO,MĘŻCZYZNA,50
2,DOLNOŚLĄSKIE,LEONARD,MĘŻCZYZNA,50
2,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,50
2,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,47
2,DOLNOŚLĄSKIE,KAJETAN,MĘŻCZYZNA,47
2,DOLNOŚLĄSKIE,KAZIMIERZ,MĘŻCZYZNA,44
2,DOLNOŚLĄSKIE,KSAWERY,MĘŻCZYZNA,41
2,DOLNOŚLĄSKIE,KUBA,MĘŻCZYZNA,40
2,DOLNOŚLĄSKIE,KORNEL,MĘŻCZYZNA,39
2,DOLNOŚLĄSKIE,DAVID,MĘŻCZYZNA,38
2,DOLNOŚLĄSKIE,WITOLD,MĘŻCZYZNA,37
2,DOLNOŚLĄSKIE,FELIKS,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,MIESZKO,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,MAKSYM,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,BORYS,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,BARTŁOMIEJ,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,STEFAN,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,ERYK,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,JERZY,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,GUSTAW,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,MATVII,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,JÓZEF,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,DAMIAN,MĘŻCZYZNA,27
