WOJ,WOJEWÓDZTWO,imie,PŁEĆ,LICZBA_WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,MAJA,KOBIETA,315
2,DOLNOŚLĄSKIE,HANNA,KOBIETA,294
2,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,294
2,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,287
2,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,276
2,DOLNOŚLĄSKIE,JULIA,KOBIETA,244
2,DOLNOŚLĄSKIE,LAURA,KOBIETA,239
2,DOLNOŚLĄSKIE,POLA,KOBIETA,202
2,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,201
2,DOLNOŚLĄSKIE,ALICJA,KOBIETA,200
2,DOLNOŚLĄSKIE,AMELIA,KOBIETA,190
2,DOLNOŚLĄSKIE,EMILIA,KOBIETA,181
2,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,180
2,DOLNOŚLĄSKIE,MARIA,KOBIETA,177
2,DOLNOŚLĄSKIE,IGA,KOBIETA,163
2,DOLNOŚLĄSKIE,LENA,KOBIETA,154
2,DOLNOŚLĄSKIE,KLARA,KOBIETA,148
2,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,147
2,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,140
2,DOLNOŚLĄSKIE,LILIANA,KOBIETA,138
2,DOLNOŚLĄSKIE,HELENA,KOBIETA,137
2,DOLNOŚLĄSKIE,NELA,KOBIETA,135
2,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,130
2,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,129
2,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,108
2,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,102
2,DOLNOŚLĄSKIE,JAGODA,KOBIETA,100
2,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,98
2,DOLNOŚLĄSKIE,ANNA,KOBIETA,96
2,DOLNOŚLĄSKIE,MIA,KOBIETA,90
2,DOLNOŚLĄSKIE,KAJA,KOBIETA,88
2,DOLNOŚLĄSKIE,ROZALIA,KOBIETA,84
2,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,82
2,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,74
2,DOLNOŚLĄSKIE,MILENA,KOBIETA,74
2,DOLNOŚLĄSKIE,NATALIA,KOBIETA,73
2,DOLNOŚLĄSKIE,MATYLDA,KOBIETA,71
2,DOLNOŚLĄSKIE,AURELIA,KOBIETA,70
2,DOLNOŚLĄSKIE,JAŚMINA,KOBIETA,70
2,DOLNOŚLĄSKIE,BLANKA,KOBIETA,67
2,DOLNOŚLĄSKIE,SARA,KOBIETA,64
2,DOLNOŚLĄSKIE,NADIA,KOBIETA,62
2,DOLNOŚLĄSKIE,ANIELA,KOBIETA,62
2,DOLNOŚLĄSKIE,NINA,KOBIETA,57
2,DOLNOŚLĄSKIE,ZOJA,KOBIETA,55
2,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,51
2,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,50
2,DOLNOŚLĄSKIE,LIWIA,KOBIETA,49
2,DOLNOŚLĄSKIE,BARBARA,KOBIETA,48
2,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,45
2,DOLNOŚLĄSKIE,BIANKA,KOBIETA,42
2,DOLNOŚLĄSKIE,APOLONIA,KOBIETA,41
2,DOLNOŚLĄSKIE,ELIZA,KOBIETA,41
2,DOLNOŚLĄSKIE,GAJA,KOBIETA,38
2,DOLNOŚLĄSKIE,SOFIA,KOBIETA,38
2,DOLNOŚLĄSKIE,IDA,KOBIETA,37
2,DOLNOŚLĄSKIE,EWA,KOBIETA,36
2,DOLNOŚLĄSKIE,NEL,KOBIETA,35
2,DOLNOŚLĄSKIE,MARIANNA,KOBIETA,35
2,DOLNOŚLĄSKIE,KALINA,KOBIETA,33
2,DOLNOŚLĄSKIE,WANDA,KOBIETA,32
2,DOLNOŚLĄSKIE,MILANA,KOBIETA,31
2,DOLNOŚLĄSKIE,NIKOLA,KOBIETA,31
2,DOLNOŚLĄSKIE,MAGDALENA,KOBIETA,30
2,DOLNOŚLĄSKIE,AGATA,KOBIETA,30
2,DOLNOŚLĄSKIE,SOFIIA,KOBIETA,29
2,DOLNOŚLĄSKIE,STEFANIA,KOBIETA,29
2,DOLNOŚLĄSKIE,KINGA,KOBIETA,28
2,DOLNOŚLĄSKIE,DIANA,KOBIETA,28
2,DOLNOŚLĄSKIE,FELICJA,KOBIETA,27
2,DOLNOŚLĄSKIE,MELANIA,KOBIETA,27
2,DOLNOŚLĄSKIE,OLIVIA,KOBIETA,26
2,DOLNOŚLĄSKIE,EMMA,KOBIETA,24
2,DOLNOŚLĄSKIE,MAŁGORZATA,KOBIETA,23
2,DOLNOŚLĄSKIE,DOMINIKA,KOBIETA,23
